날짜,종가,시가,고가,저가,거래량,전일비
2025.10.28,99500,100900,101000,99100,19830309,-2500
2025.10.27,102000,101300,102000,100600,22169970,3200
2025.10.24,98800,97900,99000,97700,18801925,2300
2025.10.23,96500,96800,98500,96300,18488581,-2100
2025.10.22,98600,97100,98600,95500,15937611,1100
2025.10.21,97500,98500,99900,97300,22803830,-600
2025.10.20,98100,97900,98300,96000,17589756,200
2025.10.17,97900,97200,99100,96700,22730809,200
2025.10.16,97700,95300,97700,95000,28141060,2700
2025.10.15,95000,92300,95300,92100,21050111,3400
